dataset,source_id,target_id
6bba_7d3058ae,0,80
6bba_7d3058ae,1,85
6bba_7d3058ae,2,81
6bba_7d3058ae,3,97
6bba_7d3058ae,4,82
6bba_7d3058ae,5,87
6bba_7d3058ae,6,93
6bba_7d3058ae,7,86
6bba_7d3058ae,8,114
6bba_7d3058ae,9,83
6bba_7d3058ae,10,105
6bba_7d3058ae,11,84
6bba_7d3058ae,12,104
6bba_7d3058ae,13,102
6bba_7d3058ae,14,88
6bba_7d3058ae,15,91
6bba_7d3058ae,16,92
6bba_7d3058ae,18,99
6bba_7d3058ae,19,103
6bba_7d3058ae,20,100
6bba_7d3058ae,22,101
6bba_7d3058ae,23,96
6bba_7d3058ae,24,112
6bba_7d3058ae,25,106
6bba_7d3058ae,26,109
6bba_7d3058ae,27,98
6bba_7d3058ae,28,115
6bba_7d3058ae,29,94
6bba_7d3058ae,30,107
6bba_7d3058ae,31,111
6bba_7d3058ae,32,113
6bba_7d3058ae,34,90
6bba_7d3058ae,35,110
6bba_7d3058ae,36,118
6bba_7d3058ae,37,108
6bba_7d3058ae,38,116
6bba_7d3058ae,39,119
6bba_7d3058ae,40,129
6bba_7d3058ae,41,89
6bba_7d3058ae,42,124
6bba_7d3058ae,43,117
6bba_7d3058ae,44,120
6bba_7d3058ae,45,122
6bba_7d3058ae,46,125
6bba_7d3058ae,47,126
6bba_7d3058ae,50,123
6bba_7d3058ae,51,127
6bba_7d3058ae,52,130
6bba_7d3058ae,53,128
6bba_7d3058ae,54,131
6bba_7d3058ae,55,138
6bba_7d3058ae,56,139
6bba_7d3058ae,57,133
6bba_7d3058ae,59,140
6bba_7d3058ae,60,132
6bba_7d3058ae,61,137
6bba_7d3058ae,62,135
6bba_7d3058ae,64,143
6bba_7d3058ae,66,141
6bba_7d3058ae,67,144
6bba_7d3058ae,68,134
6bba_7d3058ae,69,142
6bba_7d3058ae,70,145
6bba_7d3058ae,71,148
6bba_7d3058ae,75,151
6bba_7d3058ae,76,156
6bba_7d3058ae,77,153
6bba_7d3058ae,78,152
6bba_7d3058ae,80,157
6bba_7d3058ae,81,159
6bba_7d3058ae,82,162
6bba_7d3058ae,83,158
6bba_7d3058ae,84,207
6bba_7d3058ae,85,160
6bba_7d3058ae,86,163
6bba_7d3058ae,87,164
6bba_7d3058ae,88,179
6bba_7d3058ae,89,167
6bba_7d3058ae,90,170
6bba_7d3058ae,91,191
6bba_7d3058ae,92,185
6bba_7d3058ae,93,174
6bba_7d3058ae,94,202
6bba_7d3058ae,95,165
6bba_7d3058ae,96,178
6bba_7d3058ae,97,161
6bba_7d3058ae,98,175
6bba_7d3058ae,99,177
6bba_7d3058ae,100,186
6bba_7d3058ae,101,173
6bba_7d3058ae,103,171
6bba_7d3058ae,104,180
6bba_7d3058ae,105,200
6bba_7d3058ae,106,184
6bba_7d3058ae,107,172
6bba_7d3058ae,108,182
6bba_7d3058ae,109,183
6bba_7d3058ae,111,168
6bba_7d3058ae,115,190
6bba_7d3058ae,116,194
6bba_7d3058ae,117,166
6bba_7d3058ae,118,192
6bba_7d3058ae,119,218
6bba_7d3058ae,121,205
6bba_7d3058ae,122,197
6bba_7d3058ae,123,206
6bba_7d3058ae,124,204
6bba_7d3058ae,125,209
6bba_7d3058ae,128,215
6bba_7d3058ae,129,224
6bba_7d3058ae,130,214
6bba_7d3058ae,131,219
6bba_7d3058ae,133,223
6bba_7d3058ae,135,227
6bba_7d3058ae,136,226
6bba_7d3058ae,138,221
6bba_7d3058ae,140,225
6bba_7d3058ae,141,228
6bba_7d3058ae,142,232
6bba_7d3058ae,143,235
6bba_7d3058ae,145,230
6bba_7d3058ae,147,236
6bba_7d3058ae,148,231
6bba_7d3058ae,151,233
6bba_7d3058ae,153,234
6bba_7d3058ae,157,241
6bba_7d3058ae,158,263
6bba_7d3058ae,161,289
6bba_7d3058ae,162,250
6bba_7d3058ae,163,243
6bba_7d3058ae,164,246
6bba_7d3058ae,165,248
6bba_7d3058ae,166,283
6bba_7d3058ae,169,254
6bba_7d3058ae,170,253
6bba_7d3058ae,171,257
6bba_7d3058ae,174,261
6bba_7d3058ae,175,256
6bba_7d3058ae,176,245
6bba_7d3058ae,177,265
6bba_7d3058ae,178,258
6bba_7d3058ae,181,264
6bba_7d3058ae,182,267
6bba_7d3058ae,183,269
6bba_7d3058ae,184,268
6bba_7d3058ae,186,266
6bba_7d3058ae,188,285
6bba_7d3058ae,189,281
6bba_7d3058ae,190,278
6bba_7d3058ae,191,280
6bba_7d3058ae,192,282
6bba_7d3058ae,193,260
6bba_7d3058ae,195,288
6bba_7d3058ae,196,279
6bba_7d3058ae,199,284
6bba_7d3058ae,200,296
6bba_7d3058ae,202,291
6bba_7d3058ae,203,315
6bba_7d3058ae,204,286
6bba_7d3058ae,205,303
6bba_7d3058ae,206,292
6bba_7d3058ae,207,290
6bba_7d3058ae,208,251
6bba_7d3058ae,209,294
6bba_7d3058ae,211,298
6bba_7d3058ae,212,312
6bba_7d3058ae,215,295
6bba_7d3058ae,216,287
6bba_7d3058ae,219,300
6bba_7d3058ae,221,297
6bba_7d3058ae,222,306
6bba_7d3058ae,223,299
6bba_7d3058ae,225,302
6bba_7d3058ae,226,304
6bba_7d3058ae,227,301
6bba_7d3058ae,228,308
6bba_7d3058ae,230,314
6bba_7d3058ae,231,310
6bba_7d3058ae,232,309
6bba_7d3058ae,239,317
6bba_7d3058ae,241,318
6bba_7d3058ae,242,319
6bba_7d3058ae,243,320
6bba_7d3058ae,244,321
6bba_7d3058ae,245,322
6bba_7d3058ae,246,323
6bba_7d3058ae,247,324
6bba_7d3058ae,248,325
6bba_7d3058ae,249,326
6bba_7d3058ae,250,327
6bba_7d3058ae,251,328
6bba_7d3058ae,252,329
6bba_7d3058ae,253,330
6bba_7d3058ae,254,331
6bba_7d3058ae,255,332
6bba_7d3058ae,256,333
6bba_7d3058ae,257,334
6bba_7d3058ae,258,335
6bba_7d3058ae,259,336
6bba_7d3058ae,260,337
6bba_7d3058ae,261,338
6bba_7d3058ae,262,339
6bba_7d3058ae,263,340
6bba_7d3058ae,264,341
6bba_7d3058ae,265,342
6bba_7d3058ae,266,343
6bba_7d3058ae,267,344
6bba_7d3058ae,268,345
6bba_7d3058ae,269,346
6bba_7d3058ae,270,347
6bba_7d3058ae,271,348
6bba_7d3058ae,272,349
6bba_7d3058ae,273,350
6bba_7d3058ae,274,351
6bba_7d3058ae,275,352
6bba_7d3058ae,276,353
6bba_7d3058ae,277,354
6bba_7d3058ae,278,355
6bba_7d3058ae,279,356
6bba_7d3058ae,280,357
6bba_7d3058ae,281,358
6bba_7d3058ae,282,359
6bba_7d3058ae,283,360
6bba_7d3058ae,284,361
6bba_7d3058ae,285,362
6bba_7d3058ae,286,363
6bba_7d3058ae,287,364
6bba_7d3058ae,288,365
6bba_7d3058ae,289,366
6bba_7d3058ae,290,367
6bba_7d3058ae,291,368
6bba_7d3058ae,292,369
6bba_7d3058ae,293,370
6bba_7d3058ae,294,371
6bba_7d3058ae,295,372
6bba_7d3058ae,296,373
6bba_7d3058ae,297,374
6bba_7d3058ae,298,375
6bba_7d3058ae,299,376
6bba_7d3058ae,300,377
6bba_7d3058ae,301,378
6bba_7d3058ae,302,379
6bba_7d3058ae,303,380
6bba_7d3058ae,304,381
6bba_7d3058ae,305,382
6bba_7d3058ae,306,383
6bba_7d3058ae,307,384
6bba_7d3058ae,308,385
6bba_7d3058ae,309,386
6bba_7d3058ae,310,387
6bba_7d3058ae,311,388
6bba_7d3058ae,312,389
6bba_7d3058ae,313,390
6bba_7d3058ae,314,391
6bba_7d3058ae,315,392
