dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0b24845f,18741,0,37.0,19.0,45.0,0.63208944,3.5544307,0.5873016,2.5434792,68.92444,1
44b6_0b24845f,18742,0,7.0,10.0,78.0,0.535616,3.055021,0.11111111,2.5401762,68.65625,0
44b6_0b24845f,18743,0,53.0,20.0,23.0,0.55257523,2.988122,0.84126985,2.5434792,68.92444,0
44b6_0b24845f,18744,0,23.0,65.0,155.0,0.55290246,2.635946,0.36507937,2.5168092,66.77893,0
44b6_0b24845f,18745,0,0.0,149.0,192.0,0.8363547,5.041655,0.0,2.1396742,41.032837,0
44b6_0b24845f,18746,0,42.0,80.0,164.0,0.53537303,2.7824829,0.6666667,2.5434792,68.92444,0
44b6_0b24845f,18747,0,51.0,17.0,44.0,0.5281924,1.8250976,0.8095238,2.5401762,68.65625,1
44b6_0b24845f,18748,0,39.0,183.0,246.0,0.75102264,2.3438501,0.61904764,2.5401762,68.65625,0
44b6_0b24845f,18749,1,36.0,27.0,51.0,0.5913895,3.8253317,0.5714286,2.5434792,68.92444,0
44b6_0b24845f,18750,1,22.0,74.0,159.0,0.5683113,2.48653,0.34920636,2.5066607,65.974365,0
44b6_0b24845f,18751,1,52.0,27.0,29.0,0.535794,3.2339618,0.82539684,2.5434792,68.92444,0
44b6_0b24845f,18752,1,0.0,168.0,189.0,0.88986444,2.9830253,0.0,2.1396742,41.032837,0
44b6_0b24845f,18753,1,18.0,58.0,127.0,0.56525195,2.9868865,0.2857143,2.5434792,68.92444,0
44b6_0b24845f,18754,1,39.0,190.0,244.0,0.77167505,2.7601657,0.61904764,2.5434792,68.92444,0
44b6_0b24845f,18755,1,63.0,28.0,0.0,0.5242046,2.8189602,1.0,1.7794183,23.600586,0
44b6_0b24845f,18756,1,58.0,59.0,77.0,0.49642214,5.4686155,0.9206349,2.5434792,68.92444,0
44b6_0b24845f,18757,2,48.0,34.0,56.0,0.57157505,2.550149,0.7619048,2.5302145,67.851685,0
44b6_0b24845f,18758,2,63.0,32.0,9.0,0.55248725,3.199131,1.0,2.1396742,41.032837,0
44b6_0b24845f,18759,2,0.0,163.0,84.0,0.7525536,2.7648187,0.0,2.1396742,41.032837,0
44b6_0b24845f,18760,2,5.0,0.0,43.0,0.5686232,2.6345649,0.07936508,2.1350024,40.76465,0
44b6_0b24845f,18761,2,21.0,75.0,159.0,0.51773447,2.1515837,0.33333334,2.5066607,65.974365,0
44b6_0b24845f,18762,2,0.0,173.0,185.0,0.8884034,2.0298374,0.0,2.1396742,41.032837,0
44b6_0b24845f,18763,3,19.0,0.0,26.0,0.60518754,2.5916305,0.3015873,2.13031,40.49646,0
44b6_0b24845f,18764,3,55.0,68.0,84.0,0.45969403,4.515088,0.8730159,2.5434792,68.92444,0
44b6_0b24845f,18765,3,56.0,98.0,155.0,0.52583444,2.8823938,0.8888889,2.5434792,68.92444,0
44b6_0b24845f,18766,3,22.0,4.0,7.0,0.50381386,3.2569919,0.34920636,2.5368643,68.38806,0
44b6_0b24845f,18767,3,46.0,43.0,64.0,0.5266587,2.449514,0.73015875,2.5401762,68.65625,0
44b6_0b24845f,18768,4,18.0,6.0,28.0,0.562031,2.6736426,0.2857143,2.5434792,68.92444,0
44b6_0b24845f,18769,4,7.0,182.0,163.0,0.88873744,2.2112548,0.11111111,2.5434792,68.92444,0
44b6_0b24845f,18770,4,54.0,99.0,152.0,0.5093846,2.7725008,0.85714287,2.5434792,68.92444,0
44b6_0b24845f,18771,5,11.0,219.0,255.0,0.9355032,3.2533166,0.17460318,2.1396742,41.032837,0
44b6_0b24845f,18772,5,44.0,23.0,10.0,0.59906006,3.4887235,0.6984127,2.5434792,68.92444,0
44b6_0b24845f,18773,5,33.0,177.0,194.0,0.8234627,3.1971002,0.52380955,2.5434792,68.92444,0
44b6_0b24845f,18774,5,34.0,205.0,239.0,0.8359156,2.866751,0.53968257,2.5434792,68.92444,0
44b6_0b24845f,18775,5,31.0,7.0,0.0,0.5537766,5.048158,0.4920635,2.1396742,41.032837,0
44b6_0b24845f,18776,5,18.0,10.0,32.0,0.54497504,2.6013796,0.2857143,2.5434792,68.92444,0
