dataset,series,group,gt_nodes,est_nodes,track_count,total_nodes,mean_length,mean_raw_intensity,mean_dog_response,mean_step_um,mean_total_disp_um
44b6_0113de3b,44b6,Group A: GT Cells,52,25755,5,112,22.4,1647.439909504939,259.43367383612485,2.6226636929512432,39.4680631735149
44b6_0113de3b,44b6,Group B: Static Optical Noise,52,25755,1370,1482,1.0817518248175182,1110.8620802919709,168.03152256986522,0.02571533612330993,0.030827662128543886
44b6_0113de3b,44b6,Group C: Unannotated Cells,52,25755,3111,30272,9.730633236901317,1265.9361932198756,198.40137965294025,2.4034488797203495,15.642732126685752
44b6_0b24845f,44b6,Group A: GT Cells,51,32795,15,79,5.266666666666667,1853.8668667628667,52.42446303130825,1.7678554743241517,5.767318621658078
44b6_0b24845f,44b6,Group B: Static Optical Noise,51,32795,9233,9666,1.0468969998916928,2004.6580748144595,39.26904776800522,0.01431029042852512,0.017246394387763028
44b6_0b24845f,44b6,Group C: Unannotated Cells,51,32795,11547,63824,5.527323114228804,2037.2061564008557,52.07817440864923,2.5328560486551304,6.620381108923025
44b6_0c582fdc,44b6,Group A: GT Cells,71,27958,15,133,8.866666666666667,1676.6401958041959,136.59855157712568,1.8391073674866876,13.69747158169751
44b6_0c582fdc,44b6,Group B: Static Optical Noise,71,27958,2502,2639,1.0547561950439648,1417.4440780708765,85.70594234491965,0.017663581398304345,0.02188007471177657
44b6_0c582fdc,44b6,Group C: Unannotated Cells,71,27958,4332,35066,8.094644506001847,1535.34964862772,111.73368103031888,2.3431500111551506,10.660560537220464
44b6_0db75fae,44b6,Group A: GT Cells,157,15335,18,219,12.166666666666666,1675.9490777776898,144.1521396721943,2.2417686021923604,17.202391504942746
44b6_0db75fae,44b6,Group B: Static Optical Noise,157,15335,1294,1391,1.0749613601236476,1206.977803481938,69.5573806862544,0.01754420360604269,0.023757259483442934
44b6_0db75fae,44b6,Group C: Unannotated Cells,157,15335,2165,19481,8.998152424942264,1364.8999133775828,98.24139039468993,2.726016849235518,11.018284962243461
