dataset,source_id,target_id
44b6_90724892,0,353
44b6_90724892,1,323
44b6_90724892,2,291
44b6_90724892,3,280
44b6_90724892,4,289
44b6_90724892,5,285
44b6_90724892,6,283
44b6_90724892,7,282
44b6_90724892,8,318
44b6_90724892,9,303
44b6_90724892,10,309
44b6_90724892,11,300
44b6_90724892,12,322
44b6_90724892,13,288
44b6_90724892,14,307
44b6_90724892,15,290
44b6_90724892,16,279
44b6_90724892,17,298
44b6_90724892,18,304
44b6_90724892,19,305
44b6_90724892,20,334
44b6_90724892,21,294
44b6_90724892,22,286
44b6_90724892,23,299
44b6_90724892,24,333
44b6_90724892,25,292
44b6_90724892,26,350
44b6_90724892,27,365
44b6_90724892,28,302
44b6_90724892,29,284
44b6_90724892,30,281
44b6_90724892,31,335
44b6_90724892,32,297
44b6_90724892,33,358
44b6_90724892,34,315
44b6_90724892,35,341
44b6_90724892,36,316
44b6_90724892,37,310
44b6_90724892,38,373
44b6_90724892,39,372
44b6_90724892,40,403
44b6_90724892,41,347
44b6_90724892,42,301
44b6_90724892,43,317
44b6_90724892,44,345
44b6_90724892,45,293
44b6_90724892,46,332
44b6_90724892,47,346
44b6_90724892,48,312
44b6_90724892,49,287
44b6_90724892,50,296
44b6_90724892,51,326
44b6_90724892,52,306
44b6_90724892,53,320
44b6_90724892,54,371
44b6_90724892,55,376
44b6_90724892,56,381
44b6_90724892,57,363
44b6_90724892,58,378
44b6_90724892,60,348
44b6_90724892,61,321
44b6_90724892,62,336
44b6_90724892,63,314
44b6_90724892,64,357
44b6_90724892,65,342
44b6_90724892,66,319
44b6_90724892,67,390
44b6_90724892,68,361
44b6_90724892,69,343
44b6_90724892,70,329
44b6_90724892,71,339
44b6_90724892,72,331
44b6_90724892,73,311
44b6_90724892,74,337
44b6_90724892,75,354
44b6_90724892,76,387
44b6_90724892,77,370
44b6_90724892,78,392
44b6_90724892,79,459
44b6_90724892,81,328
44b6_90724892,83,349
44b6_90724892,84,466
44b6_90724892,85,377
44b6_90724892,86,359
44b6_90724892,87,407
44b6_90724892,88,380
44b6_90724892,90,423
44b6_90724892,91,366
44b6_90724892,92,388
44b6_90724892,93,369
44b6_90724892,94,330
44b6_90724892,95,400
44b6_90724892,96,362
44b6_90724892,97,308
44b6_90724892,98,389
44b6_90724892,99,383
44b6_90724892,101,409
44b6_90724892,102,391
44b6_90724892,103,430
44b6_90724892,104,355
44b6_90724892,105,411
44b6_90724892,106,374
44b6_90724892,107,442
44b6_90724892,108,441
44b6_90724892,110,399
44b6_90724892,111,397
44b6_90724892,112,406
44b6_90724892,114,384
44b6_90724892,115,344
44b6_90724892,116,436
44b6_90724892,117,435
44b6_90724892,119,386
44b6_90724892,120,393
44b6_90724892,122,405
44b6_90724892,123,416
44b6_90724892,124,382
44b6_90724892,126,432
44b6_90724892,128,295
44b6_90724892,129,492
44b6_90724892,131,455
44b6_90724892,132,356
44b6_90724892,133,424
44b6_90724892,134,324
44b6_90724892,135,402
44b6_90724892,136,449
44b6_90724892,137,429
44b6_90724892,138,351
44b6_90724892,139,446
44b6_90724892,141,394
44b6_90724892,143,415
44b6_90724892,145,340
44b6_90724892,146,439
44b6_90724892,147,437
44b6_90724892,148,444
44b6_90724892,149,395
44b6_90724892,150,410
44b6_90724892,151,482
44b6_90724892,152,427
44b6_90724892,154,408
44b6_90724892,155,414
44b6_90724892,156,412
44b6_90724892,157,445
44b6_90724892,159,422
44b6_90724892,160,451
44b6_90724892,161,469
44b6_90724892,162,426
44b6_90724892,163,420
44b6_90724892,164,471
44b6_90724892,166,440
44b6_90724892,167,479
44b6_90724892,169,453
44b6_90724892,171,467
44b6_90724892,172,456
44b6_90724892,173,473
44b6_90724892,174,457
44b6_90724892,177,497
44b6_90724892,178,418
44b6_90724892,180,462
44b6_90724892,181,476
44b6_90724892,182,404
44b6_90724892,183,483
44b6_90724892,184,450
44b6_90724892,185,465
44b6_90724892,187,485
44b6_90724892,188,481
44b6_90724892,189,478
44b6_90724892,191,512
44b6_90724892,192,486
44b6_90724892,194,452
44b6_90724892,195,511
44b6_90724892,197,477
44b6_90724892,200,464
44b6_90724892,201,520
44b6_90724892,202,533
44b6_90724892,203,563
44b6_90724892,204,401
44b6_90724892,205,475
44b6_90724892,206,484
44b6_90724892,207,421
44b6_90724892,210,470
44b6_90724892,211,501
44b6_90724892,212,523
44b6_90724892,214,496
44b6_90724892,215,536
44b6_90724892,216,490
44b6_90724892,217,502
44b6_90724892,220,510
44b6_90724892,222,556
44b6_90724892,225,569
44b6_90724892,227,537
44b6_90724892,229,507
44b6_90724892,232,495
44b6_90724892,234,552
44b6_90724892,236,527
44b6_90724892,237,539
44b6_90724892,238,542
44b6_90724892,239,506
44b6_90724892,241,515
44b6_90724892,242,499
44b6_90724892,243,514
44b6_90724892,244,528
44b6_90724892,246,504
44b6_90724892,250,538
44b6_90724892,253,521
44b6_90724892,254,532
44b6_90724892,256,534
44b6_90724892,259,545
44b6_90724892,262,530
44b6_90724892,264,562
44b6_90724892,266,548
44b6_90724892,267,531
44b6_90724892,270,547
44b6_90724892,275,557
44b6_90724892,279,598
44b6_90724892,280,608
44b6_90724892,281,577
44b6_90724892,282,578
44b6_90724892,283,586
44b6_90724892,284,571
44b6_90724892,285,574
44b6_90724892,286,580
44b6_90724892,287,579
44b6_90724892,288,592
44b6_90724892,290,597
44b6_90724892,292,596
44b6_90724892,293,686
44b6_90724892,294,589
44b6_90724892,295,584
44b6_90724892,296,588
44b6_90724892,297,595
44b6_90724892,298,617
44b6_90724892,299,607
44b6_90724892,300,575
44b6_90724892,301,591
44b6_90724892,302,637
44b6_90724892,304,644
44b6_90724892,305,640
44b6_90724892,306,618
44b6_90724892,307,612
44b6_90724892,308,631
44b6_90724892,309,576
44b6_90724892,310,616
44b6_90724892,311,606
44b6_90724892,312,593
44b6_90724892,313,632
44b6_90724892,314,581
44b6_90724892,315,590
44b6_90724892,316,585
44b6_90724892,317,622
44b6_90724892,318,625
44b6_90724892,319,655
44b6_90724892,320,572
44b6_90724892,321,582
44b6_90724892,322,613
44b6_90724892,323,602
44b6_90724892,324,623
44b6_90724892,325,675
44b6_90724892,326,639
44b6_90724892,328,594
44b6_90724892,329,695
44b6_90724892,330,710
44b6_90724892,331,628
44b6_90724892,332,657
44b6_90724892,333,646
44b6_90724892,335,661
44b6_90724892,336,635
44b6_90724892,337,696
44b6_90724892,338,620
44b6_90724892,339,659
44b6_90724892,340,770
44b6_90724892,341,629
44b6_90724892,342,656
44b6_90724892,343,652
44b6_90724892,344,619
44b6_90724892,345,604
44b6_90724892,346,664
44b6_90724892,347,583
44b6_90724892,349,645
44b6_90724892,350,647
44b6_90724892,351,634
44b6_90724892,352,642
44b6_90724892,353,746
44b6_90724892,354,677
44b6_90724892,355,673
44b6_90724892,356,651
44b6_90724892,357,663
44b6_90724892,358,621
44b6_90724892,359,638
44b6_90724892,360,609
44b6_90724892,361,705
44b6_90724892,362,781
44b6_90724892,363,702
44b6_90724892,364,605
44b6_90724892,365,676
44b6_90724892,366,654
44b6_90724892,367,611
44b6_90724892,368,587
44b6_90724892,370,687
44b6_90724892,371,650
44b6_90724892,372,669
44b6_90724892,373,627
44b6_90724892,374,678
44b6_90724892,375,641
44b6_90724892,376,653
44b6_90724892,377,636
44b6_90724892,378,649
44b6_90724892,379,671
44b6_90724892,380,600
44b6_90724892,382,660
44b6_90724892,383,674
44b6_90724892,384,658
44b6_90724892,385,706
44b6_90724892,387,599
44b6_90724892,390,714
44b6_90724892,391,573
44b6_90724892,393,724
44b6_90724892,394,665
44b6_90724892,395,672
44b6_90724892,396,662
44b6_90724892,397,630
44b6_90724892,400,708
44b6_90724892,401,703
44b6_90724892,402,733
44b6_90724892,403,759
44b6_90724892,404,670
44b6_90724892,405,668
44b6_90724892,408,716
44b6_90724892,409,732
44b6_90724892,410,699
44b6_90724892,411,603
44b6_90724892,412,717
44b6_90724892,413,712
44b6_90724892,414,747
44b6_90724892,415,731
44b6_90724892,417,802
44b6_90724892,418,601
44b6_90724892,420,690
44b6_90724892,421,648
44b6_90724892,422,723
44b6_90724892,423,748
44b6_90724892,424,683
44b6_90724892,425,709
44b6_90724892,426,633
44b6_90724892,427,745
44b6_90724892,430,713
44b6_90724892,431,754
44b6_90724892,432,684
44b6_90724892,433,700
44b6_90724892,434,735
44b6_90724892,435,719
44b6_90724892,436,679
44b6_90724892,437,767
44b6_90724892,438,753
44b6_90724892,439,701
44b6_90724892,442,707
44b6_90724892,445,728
44b6_90724892,446,704
44b6_90724892,448,730
44b6_90724892,449,715
44b6_90724892,450,615
44b6_90724892,451,749
44b6_90724892,452,685
44b6_90724892,454,742
44b6_90724892,455,718
44b6_90724892,456,726
44b6_90724892,457,740
44b6_90724892,459,694
44b6_90724892,461,764
44b6_90724892,462,755
44b6_90724892,463,736
44b6_90724892,464,792
44b6_90724892,465,783
44b6_90724892,466,680
44b6_90724892,467,795
44b6_90724892,468,737
44b6_90724892,469,729
44b6_90724892,470,760
44b6_90724892,471,744
44b6_90724892,472,666
44b6_90724892,473,766
44b6_90724892,474,681
44b6_90724892,475,757
44b6_90724892,476,772
44b6_90724892,477,761
44b6_90724892,478,777
44b6_90724892,479,769
44b6_90724892,480,688
44b6_90724892,481,775
44b6_90724892,483,804
44b6_90724892,486,808
44b6_90724892,487,809
44b6_90724892,489,798
44b6_90724892,490,805
44b6_90724892,492,756
44b6_90724892,495,774
44b6_90724892,496,768
44b6_90724892,497,739
44b6_90724892,499,834
44b6_90724892,501,786
44b6_90724892,502,819
44b6_90724892,504,738
44b6_90724892,505,800
44b6_90724892,507,790
44b6_90724892,510,803
44b6_90724892,515,816
44b6_90724892,517,806
44b6_90724892,519,752
44b6_90724892,520,814
44b6_90724892,522,829
44b6_90724892,524,832
44b6_90724892,525,758
44b6_90724892,526,797
44b6_90724892,529,841
44b6_90724892,531,830
44b6_90724892,532,842
44b6_90724892,533,854
44b6_90724892,536,813
44b6_90724892,539,838
44b6_90724892,541,837
44b6_90724892,542,789
44b6_90724892,543,840
44b6_90724892,546,831
44b6_90724892,547,825
44b6_90724892,548,846
44b6_90724892,552,771
44b6_90724892,556,810
44b6_90724892,557,823
44b6_90724892,571,865
44b6_90724892,572,860
44b6_90724892,574,878
44b6_90724892,575,859
44b6_90724892,576,965
44b6_90724892,577,872
